State,Borehole Name,Borehole URI,Latitude,Longitude,Start Depth,EndDepth,File Modified Date,Download Link
SA,DDH 235,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/Pirsa/borehole/141113,-34.0402333,137.6158534,0,50.6,6/23/2022 4:58:28 AM,https://nvclstore.z8.web.core.windows.net/SA/141113_PO_DDH235.zip
SA,TPS 8,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/Pirsa/borehole/3527,-29.5080821,133.7694389,0,30.6,6/23/2022 5:06:28 AM,https://nvclstore.z8.web.core.windows.net/SA/3527_TALL_TPS8.zip
SA,DD89EN 46,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/141782,-29.1650512,135.0835885,0,234.8,6/23/2022 5:04:27 AM,https://nvclstore.z8.web.core.windows.net/SA/141782_DD89EN46.zip
SA,CHDCU02,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/274447,-29.3034522,135.1176815,40,600.5,6/23/2022 4:57:16 AM,https://nvclstore.z8.web.core.windows.net/SA/274447_CHDCU02.zip
SA,SHR 1,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/173735,-35.3462895,139.7608224,80.4,90.2,6/23/2022 4:53:40 AM,https://nvclstore.z8.web.core.windows.net/SA/173735_SHR001.zip
SA,TER 1,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/180584,-34.7844003,137.4953803,0,199,6/23/2022 4:54:42 AM,https://nvclstore.z8.web.core.windows.net/SA/180584_TER_1.zip
SA,MHDDH34,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/Pirsa/borehole/215753,-30.4583503,138.2711544,0,72,6/23/2022 5:05:51 AM,https://nvclstore.z8.web.core.windows.net/SA/215753_ MHDDH34.zip
SA,WRD49,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/284737,-30.6499713,136.9581178,348,1043.88,6/23/2022 4:54:23 AM,https://nvclstore.z8.web.core.windows.net/SA/284737_WRD_49.zip
SA,BD 002,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/Pirsa/borehole/104356,-31.4507975,140.4513148,63.5,302.5,6/23/2022 4:54:56 AM,https://nvclstore.z8.web.core.windows.net/SA/104356_BEN_BD2.zip
SA,RD16,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/281146,-30.4441583,136.8860159,165.6,480,6/23/2022 5:07:10 AM,https://nvclstore.z8.web.core.windows.net/SA/281146_RD16.zip
SA,PP 8,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/23928,-33.3566333,137.9527613,130.76,457.81,6/23/2022 4:55:33 AM,https://nvclstore.z8.web.core.windows.net/SA/23928_PP8.zip
SA,LED008,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/169558,-31.2267901,134.7643885,71.2,167,6/23/2022 5:03:13 AM,https://nvclstore.z8.web.core.windows.net/SA/169558_LED008.zip
SA,CR-6,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/428,-26.399378,130.7298027,48.7,60.96,6/23/2022 4:58:28 AM,https://nvclstore.z8.web.core.windows.net/SA/428_CAROLINE_CR6.zip
SA,RU41-11783,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/333102,-30.4470019,136.8973568,0,280,6/23/2022 4:56:51 AM,https://nvclstore.z8.web.core.windows.net/SA/333102_RU41-117983.zip
SA,PYD004,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/275116,-34.6118983,137.7156972,24,242.2,6/23/2022 5:05:37 AM,https://nvclstore.z8.web.core.windows.net/SA/275116_PYD004.zip
SA,GRANITE DOWNS DH 2,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/Pirsa/borehole/283713,-26.8964461,133.4071511,0.43,23.7,6/23/2022 5:00:29 AM,https://nvclstore.z8.web.core.windows.net/SA/283713_GDDH2.zip
SA,PUB 38 / SAU 18,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/139509,-32.7044593,137.5094865,60,91,8/19/2022 4:10:19 AM,https://nvclstore.z8.web.core.windows.net/SA/139509_SAU18.zip
SA,PJD1,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/284381,-34.6701873,137.8593812,0,0,6/23/2022 5:04:56 AM,https://nvclstore.z8.web.core.windows.net/SA/284381_PJD1.zip
SA,COM 12,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/134141,-29.8484931,134.2631997,48.5,50,1/23/2023 2:33:24 AM,https://nvclstore.z8.web.core.windows.net/SA/134141_COM12.zip
SA,DDHURN1,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/269223,-29.7193642,135.5756673,107.8,720,6/23/2022 4:57:10 AM,https://nvclstore.z8.web.core.windows.net/SA/269223_DDHURAN1.zip
SA,KDD002,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/215242,-29.3755412,134.9093195,0,351.32,6/23/2022 5:03:51 AM,https://nvclstore.z8.web.core.windows.net/SA/215242_KDD002.zip
SA,RD2274,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/312942,-30.4781063,136.9505069,322.6,421,6/23/2022 5:05:47 AM,https://nvclstore.z8.web.core.windows.net/SA/312942_RD2274.zip
